base_name,perc_artificial
img_00427_2019,3.92
img_00428_2019,4.00
img_00421_2019,4.06
img_00379_p04_2019,8.53
img_00419_2019,3.48
img_00393_p02_2019,2.44
img_00379_p03_2019,6.39
img_00024_p23_2019,10.52
img_00406_p01_2019,3.45
img_00424_2019,1.60
img_00379_p02_2019,7.97
img_00406_p02_2019,2.25
img_00436_2019,0.05
img_00447_2019,2.18
img_00441_2019,0.00
img_00433_2019,0.00
img_00429_2019,0.84
img_00430_2019,5.89
img_00439_2019,0.00
img_00385_p01_2019,0.61
img_00024_p18_2019,7.79
img_00437_2019,0.00
img_00385_p04_2019,1.64
img_00448_2019,0.00
img_00396_p01_2019,7.54
img_00446_2019,4.17
img_00451_2019,3.79
img_00443_2019,4.43
img_00435_2019,0.00
img_00440_2019,3.02
img_00442_2019,3.98
img_00444_2019,1.61
img_00438_2019,0.01
img_00453_2019,8.83
img_00463_2019,0.00
img_00396_p02_2019,8.25
img_00445_2019,7.46
img_00385_p03_2019,1.31
img_00457_2019,3.19
img_00385_p02_2019,2.62
img_00450_2019,0.24
img_00452_2019,10.92
img_00351_p02_2019,0.00
img_00454_2019,0.00
img_00466_2019,0.00
img_00396_p04_2019,9.24
img_00396_p03_2019,8.34
img_00164_p04_2019,8.07
img_00351_p05_2019,0.00
img_00432_2019,7.83
img_00351_p01_2019,0.01
img_00351_p06_2019,0.00
img_00351_p03_2019,0.02
img_00351_p04_2019,0.00
img_00164_p05_2019,8.50
img_00164_p09_2019,8.82
img_00164_p13_2019,6.25
img_00164_p15_2019,8.33
img_00164_p10_2019,6.70
img_00164_p03_2019,7.78
img_00164_p08_2019,8.85
img_00164_p18_2019,8.48
img_00164_p01_2019,7.45
img_00469_2019,0.14
img_00460_2019,3.81
img_00164_p17_2019,10.27
img_00456_2019,0.00
img_00164_p16_2019,8.97
img_00455_2019,0.00
img_00467_2019,1.63
img_00468_2019,0.00
img_00465_2019,9.21
img_00462_2019,0.94
img_00477_2019,0.00
img_00475_2019,0.02
img_00164_p19_2019,8.76
img_00472_2019,0.00
img_00478_2019,5.00
img_00474_2019,0.26
img_00476_2019,0.75
img_00470_2019,4.17
img_00164_p06_2019,8.43
img_00481_2019,4.17
img_00164_p11_2019,8.18
img_00483_2019,4.08
img_00480_2019,0.00
img_00479_2019,3.38
img_00471_2019,8.19
img_00482_2019,0.59
img_00484_2019,4.17
img_00488_2019,11.93
img_00490_2019,4.09
img_00489_2019,3.68
img_00164_p02_2019,8.63
img_00495_2019,0.00
img_00464_p02_2019,4.13
img_00493_2019,0.00
img_00492_2019,4.41
img_00464_p01_2019,5.29
img_00164_p07_2019,6.30
img_00458_p01_2019,4.21
img_00458_p02_2019,4.60
img_00461_p01_2019,10.82
img_00418_p01_2019,0.00
img_00461_p02_2019,11.51
img_00487_2019,1.00
img_00164_p12_2019,8.30
img_00496_2019,2.34
img_00498_2019,0.00
img_00418_p05_2019,0.03
img_00418_p04_2019,0.08
img_00418_p02_2019,0.00
img_00499_2019,0.00
img_00449_p04_2019,0.00
img_00418_p03_2019,0.00
img_00501_2019,6.72
img_00502_2019,5.24
img_00449_p02_2019,0.00
img_00509_2019,6.41
img_00418_p06_2019,0.00
img_00434_p02_2019,1.58
img_00508_2019,1.91
img_00434_p01_2019,0.81
img_00505_2019,6.09
img_00449_p01_2019,0.00
img_00514_2019,0.12
img_00510_2019,0.08
img_00515_2019,0.00
img_00516_2019,2.80
img_00513_2019,0.02
img_00518_2019,5.14
img_00519_2019,0.00
img_00511_2019,4.17
img_00503_2019,6.68
img_00491_p02_2019,4.14
img_00520_2019,3.97
img_00524_2019,4.14
img_00521_2019,0.00
img_00523_2019,0.00
img_00491_p01_2019,4.17
img_00449_p03_2019,0.05
img_00434_p04_2019,0.56
img_00526_2019,0.00
img_00431_p01_2019,3.65
img_00434_p03_2019,0.18
img_00517_2019,0.70
img_00431_p04_2019,7.10
img_00500_2019,0.61
img_00485_p04_2019,2.53
img_00506_p02_2019,5.20
img_00506_p01_2019,4.97
img_00431_p06_2019,4.17
img_00529_2019,5.52
img_00431_p08_2019,6.54
img_00431_p03_2019,4.17
img_00525_2019,4.14
img_00485_p01_2019,0.14
img_00431_p05_2019,4.16
img_00522_p01_2019,4.19
img_00431_p02_2019,4.22
img_00408_p01_2019,2.13
img_00522_p02_2019,4.14
img_00485_p02_2019,0.97
img_00533_2019,4.02
img_00530_2019,0.00
img_00532_2019,0.00
img_00527_2019,0.15
img_00408_p02_2019,2.46
img_00531_2019,0.00
img_00534_2019,0.00
img_00535_2019,4.07
img_00536_2019,4.17
img_00540_2019,0.00
img_00485_p03_2019,0.77
img_00431_p07_2019,7.65
img_00408_p06_2019,0.00
img_00538_2019,0.00
img_00494_p01_2019,5.32
img_00494_p03_2019,4.33
img_00408_p08_2019,0.97
img_00494_p02_2019,4.77
img_00494_p04_2019,4.17
img_00497_p01_2019,5.57
img_00539_2019,0.93
img_00497_p04_2019,8.06
img_00408_p04_2019,0.12
img_00497_p03_2019,8.11
img_00408_p03_2019,0.85
img_00546_2019,0.00
img_00547_2019,0.00
img_00504_p01_2019,4.79
img_00504_p02_2019,6.06
img_00504_p04_2019,8.33
img_00549_2019,0.00
img_00545_2019,0.01
img_00548_2019,0.04
img_00555_2019,0.00
img_00554_2019,0.00
img_00552_2019,3.79
img_00551_2019,0.00
img_00504_p03_2019,6.99
img_00543_2019,0.00
img_00541_2019,0.00
img_00553_2019,0.00
img_00558_2019,0.00
img_00408_p05_2019,0.94
img_00557_2019,4.17
img_00559_2019,0.00
img_00497_p02_2019,8.02
img_00507_p02_2019,4.86
img_00562_2019,8.12
img_00560_2019,0.00
img_00564_2019,1.19
img_00561_2019,2.40
img_00550_2019,0.00
img_00473_p02_2019,4.17
img_00408_p07_2019,0.37
img_00507_p04_2019,4.13
img_00497_p05_2019,8.16
img_00565_2019,0.68
img_00473_p03_2019,2.93
img_00473_p05_2019,0.04
img_00507_p03_2019,4.16
img_00473_p06_2019,0.00
img_00569_2019,0.53
img_00570_2019,0.00
img_00507_p01_2019,4.27
img_00556_2019,3.27
img_00568_2019,4.46
img_00537_p02_2019,0.00
img_00566_2019,0.00
img_00573_2019,4.10
img_00537_p01_2019,0.02
img_00579_2019,0.00
img_00572_2019,2.99
img_00574_2019,0.00
img_00528_p01_2019,0.00
img_00571_2019,0.00
img_00576_2019,0.04
img_00575_2019,0.11
img_00473_p01_2019,1.29
img_00585_2019,0.00
img_00578_2019,0.15
img_00563_2019,4.41
img_00582_2019,1.06
img_00590_2019,4.11
img_00586_2019,0.72
img_00589_2019,4.96
